title,content warnings,date finished,date watched,favourite?,feels,genre,notes,progress,rating,"rating ",runtime,status,summary,tags,total,trailer,type,watched
brooklyn nine-nine,,,,No,"chill, funny","comedy, crime",,0%,,,22 min,watchlist,a talented but immature detective navigates the chaos of his precinct while solving crimes with his quirky colleagues,"comedy, sitcom, workplace drama",153,,tv show/series,
the office,,,,No,"chill, funny",comedy,,0%,,,22 min,watchlist,mockumentary-style sitcom following the everyday lives of office employees at a paper company,"comedy, sitcom, workplace drama",201,,tv show/series,
friends,,,,No,"chill, funny, romantic","comedy, romance",,0%,,,22 min,watchlist,"six friends navigate life, love, and careers in new york city","comedy, romcom, sitcom",236,,tv show/series,
kim’s convenience,,,,No,"chill, funny",comedy,,0%,,,22 min,watchlist,the korean-canadian kim family runs a convenience store while managing generational and cultural clashes,"comedy, family, sitcom",88,,tv show/series,
the rookie,,,,No,"dramatic, tense","crime, drama",,0%,,,44 min,watchlist,a middle-aged man becomes the oldest rookie at the los angeles police department,"crime, police procedural, workplace drama",87,,tv show/series,
suits,,,,No,"dramatic, tense",drama,,0%,,,45 min,watchlist,a college dropout works as a law associate at a top firm despite never having attended law school,"drama, legal drama, workplace drama",134,,tv show/series,
house m.d.,,,,No,"dramatic, tense","drama, mystery",,0%,,,44 min,watchlist,,"drama, investigation, medical drama",177,,tv show/series,
grey’s anatomy,,,,No,"dramatic, romantic","drama, romance",,0%,,,43 min,watchlist,a group of surgeons navigates personal and professional challenges at seattle grace hospital,"drama, medical drama, romance",400,,tv show/series,
fresh off the boat,,,,No,"chill, funny",comedy,,0%,,,22 min,watchlist,an asian-american family adjusts to life in florida while dealing with cultural differences and generational gaps,"comedy, family, sitcom",116,,tv show/series,
modern family,,,,No,"chill, funny",comedy,,0%,,,22 min,watchlist,"mockumentary-style sitcom following the lives of a large, diverse family in california","comedy, family, sitcom",250,,tv show/series,
the big bang theory,,,,No,"chill, funny",comedy,,0%,,,22 min,watchlist,"nerdy scientists navigate friendships, love, and everyday social challenges in pasadena","comedy, sitcom",279,,tv show/series,
seinfeld,,,,No,"chill, funny",comedy,,0%,,,22 min,watchlist,a stand-up comedian and his friends experience the absurdities of daily life in new york city,"comedy, sitcom",180,,tv show/series,
